"","Functionality","x1","x2","x3","x4","x5","x6","x7","x8"
"1","1","1","1","1","1","1","1","1","1"
"2","1","3","1","2","3","3","2","3","3"
"3","1","1","1","1","1","2","2","1","2"
"4","1","3","1","2","3","3","3","3","3"
"5","1","1","1","1","1","3","2","3","3"
"6","1","3","1","3","1","1","2","3","1"
"7","1","1","1","1","1","3","3","1","1"
"8","1","3","1","3","1","1","2","3","3"
"9","1","1","1","1","3","1","3","1","3"
"10","1","3","1","3","1","1","3","3","2"
"11","1","1","1","1","3","3","2","3","1"
"12","1","3","1","3","1","2","1","1","3"
"13","1","1","1","2","1","2","1","1","2"
"14","1","3","1","3","1","2","1","3","3"
"15","1","1","1","2","1","2","3","3","3"
"16","1","3","1","3","1","2","2","1","2"
"17","1","1","1","2","1","3","1","3","3"
"18","1","3","1","3","1","2","2","2","2"
"19","1","1","1","2","1","3","2","3","1"
"20","1","3","1","3","1","2","2","3","1"
"21","1","1","1","2","3","2","1","1","1"
"22","1","3","1","3","1","2","2","3","3"
"23","1","1","1","2","3","2","2","3","2"
"24","1","3","1","3","1","2","3","2","3"
"25","1","1","1","2","3","2","3","3","3"
"26","1","3","1","3","1","2","3","3","2"
"27","1","1","1","3","1","1","2","3","3"
"28","1","3","1","3","1","2","3","3","3"
"29","1","1","1","3","1","2","2","3","3"
"30","1","3","1","3","1","3","1","1","1"
"31","1","1","1","3","1","3","2","3","3"
"32","1","3","1","3","1","3","1","3","1"
"33","1","1","1","3","1","3","3","3","3"
"34","1","3","1","3","1","3","1","3","2"
"35","1","1","1","3","3","1","3","1","2"
"36","1","3","1","3","1","3","1","3","3"
"37","1","1","1","3","3","1","3","3","3"
"38","1","3","1","3","1","3","2","2","3"
"39","1","1","1","3","3","2","2","1","2"
"40","1","3","1","3","1","3","2","3","2"
"41","1","1","1","3","3","2","2","3","3"
"42","1","3","1","3","1","3","2","3","3"
"43","1","1","1","3","3","2","3","3","3"
"44","1","3","1","3","1","3","3","3","3"
"45","1","1","1","3","3","3","2","1","2"
"46","1","3","1","3","3","1","3","3","1"
"47","1","1","2","1","1","2","3","3","3"
"48","1","3","1","3","3","1","3","3","3"
"49","1","1","2","1","1","3","2","2","1"
"50","1","3","1","3","3","2","1","3","1"
"51","1","1","2","2","1","1","2","3","2"
"52","1","3","1","3","3","2","1","3","3"
"53","1","1","2","2","1","1","3","3","3"
"54","1","3","1","3","3","2","2","3","2"
"55","1","1","2","2","1","2","1","1","2"
"56","1","3","1","3","3","2","2","3","3"
"57","1","1","2","2","1","2","2","1","1"
"58","1","3","1","3","3","2","3","1","2"
"59","1","1","2","2","1","2","2","1","2"
"60","1","3","1","3","3","2","3","2","2"
"61","1","1","2","2","1","2","3","3","2"
"62","1","3","1","3","3","2","3","2","3"
"63","1","1","2","2","1","3","2","1","2"
"64","1","3","1","3","3","2","3","3","3"
"65","1","1","2","2","3","2","1","1","1"
"66","1","3","1","3","3","3","2","3","3"
"67","1","1","2","2","3","2","1","1","2"
"68","1","3","1","3","3","3","3","2","2"
"69","1","1","2","2","3","2","2","3","2"
"70","1","3","1","3","3","3","3","3","2"
"71","1","1","2","2","3","2","2","3","3"
"72","1","3","1","3","3","3","3","3","3"
"73","1","1","2","2","3","2","3","3","2"
"74","1","3","2","1","1","1","3","3","3"
"75","1","1","2","2","3","3","2","1","2"
"76","1","3","2","1","1","2","2","1","2"
"77","1","1","2","3","1","3","3","3","1"
"78","1","3","2","1","1","2","3","2","1"
"79","1","1","2","3","2","2","3","3","3"
"80","1","3","2","1","1","3","1","3","1"
"81","1","1","2","3","3","1","1","2","3"
"82","1","3","2","1","1","3","2","3","2"
"83","1","1","2","3","3","1","3","3","3"
"84","1","3","2","1","1","3","2","3","3"
"85","1","1","2","3","3","2","2","2","3"
"86","1","3","2","1","3","1","1","3","3"
"87","1","1","2","3","3","2","2","3","3"
"88","1","3","2","1","3","2","2","3","2"
"89","1","1","2","3","3","2","3","3","3"
"90","1","3","2","1","3","2","2","3","3"
"91","1","1","2","3","3","3","3","3","1"
"92","1","3","2","1","3","2","3","3","1"
"93","1","1","2","3","3","3","3","3","3"
"94","1","3","2","1","3","3","1","1","1"
"95","1","1","3","1","1","3","3","1","1"
"96","1","3","2","1","3","3","2","3","2"
"97","1","1","3","2","1","3","1","3","1"
"98","1","3","2","1","3","3","2","3","3"
"99","1","1","3","2","2","2","2","1","2"
"100","1","3","2","1","3","3","3","3","1"
"101","1","1","3","2","3","3","2","1","2"
"102","1","3","2","2","1","1","3","2","3"
"103","1","1","3","3","3","2","3","3","3"
"104","1","3","2","2","1","2","1","3","3"
"105","1","1","3","3","3","3","1","2","2"
"106","1","3","2","2","1","2","2","3","1"
"107","1","1","3","3","3","3","1","3","1"
"108","1","3","2","2","1","2","2","3","2"
"109","1","1","3","3","3","3","2","1","1"
"110","1","3","2","2","1","2","2","3","3"
"111","1","2","1","1","1","1","3","2","1"
"112","1","3","2","2","1","2","3","2","1"
"113","1","2","1","1","1","1","3","2","3"
"114","1","3","2","2","1","2","3","2","3"
"115","1","2","1","1","1","1","3","3","3"
"116","1","3","2","2","1","2","3","3","2"
"117","1","2","1","1","1","2","1","2","2"
"118","1","3","2","2","1","2","3","3","3"
"119","1","2","1","1","1","2","1","2","3"
"120","1","3","2","2","1","3","1","2","3"
"121","1","2","1","1","1","2","1","3","2"
"122","1","3","2","2","1","3","1","3","2"
"123","1","2","1","1","1","2","2","1","2"
